ward_precinct_id,GEOID,johnson_alloc,vallas_alloc,votes_alloc
19_011,170317404003,75.9879998359846,481.92389369663914,557.9118935326237
19_012,170317402004,5.1572046785498085,76.15472241991884,81.31192709846866
19_012,170318217003,0.0006494221605438838,0.009589800570698019,0.010239222731241901
19_012,170318227021,0.0011278255242336056,0.016654223574516243,0.017782049098749846
19_012,170318227012,0.0031704265569076242,0.04681663215700258,0.0499870587139102
19_012,170318228022,1.0366176922149448e-13,1.5307387921707352e-12,1.6344005613922298e-12
19_012,170318217004,0.0003353983329599146,0.004952715383374739,0.005288113716334654
19_012,170318217005,0.00011305190415164965,0.0016693997846393598,0.0017824516887910095
19_012,170318219005,0.0009105524567422112,0.013445824611226653,0.014356377067968865
19_012,170317402001,54.83261472798785,809.6949441499539,864.5275588779417
19_012,170317402002,0.0038739165267009917,0.05720483404428465,0.061078750570985635
